debug: Token file: python.token
debug: Read dummy DCAP token
debug: enclave created:
debug:     base:           0x0000000000000000
debug:     size:           0x0000000040000000
debug:     misc_select:    0x00000000
debug:     attr.flags:     0x0000000000000005
debug:     attr.xfrm:      0x00000000000000e7
debug:     ssa_frame_size: 4
debug:     isv_prod_id:    0x00000000
debug:     isv_svn:        0x00000000
debug: adding pages to enclave: 0x3fef5000-0x40000000 [REG:R--] (manifest) measured
debug: adding pages to enclave: 0x3e209000-0x3e249000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e1c9000-0x3e209000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e189000-0x3e1c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e149000-0x3e189000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e109000-0x3e149000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e0c9000-0x3e109000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e089000-0x3e0c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e049000-0x3e089000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3e009000-0x3e049000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3dfc9000-0x3e009000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3df89000-0x3dfc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3df49000-0x3df89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3df09000-0x3df49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3dec9000-0x3df09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3de89000-0x3dec9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3de49000-0x3de89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3de09000-0x3de49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ddc9000-0x3de09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3dd89000-0x3ddc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3dd49000-0x3dd89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3dd09000-0x3dd49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3dcc9000-0x3dd09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3dc89000-0x3dcc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3dc49000-0x3dc89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3dc09000-0x3dc49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3dbc9000-0x3dc09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3db89000-0x3dbc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3db49000-0x3db89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3db09000-0x3db49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3dac9000-0x3db09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3da89000-0x3dac9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3da49000-0x3da89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3da09000-0x3da49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d9c9000-0x3da09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d989000-0x3d9c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d949000-0x3d989000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d909000-0x3d949000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d8c9000-0x3d909000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d889000-0x3d8c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d849000-0x3d889000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d809000-0x3d849000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d7c9000-0x3d809000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d789000-0x3d7c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d749000-0x3d789000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d709000-0x3d749000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d6c9000-0x3d709000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d689000-0x3d6c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d649000-0x3d689000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d609000-0x3d649000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d5c9000-0x3d609000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d589000-0x3d5c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d549000-0x3d589000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d509000-0x3d549000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d4c9000-0x3d509000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d489000-0x3d4c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d449000-0x3d489000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d409000-0x3d449000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d3c9000-0x3d409000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d389000-0x3d3c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d349000-0x3d389000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d309000-0x3d349000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d2c9000-0x3d309000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d289000-0x3d2c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d249000-0x3d289000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d209000-0x3d249000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d1c9000-0x3d209000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d189000-0x3d1c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d149000-0x3d189000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d109000-0x3d149000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d0c9000-0x3d109000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d089000-0x3d0c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d049000-0x3d089000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3d009000-0x3d049000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cfc9000-0x3d009000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cf89000-0x3cfc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cf49000-0x3cf89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cf09000-0x3cf49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cec9000-0x3cf09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ce89000-0x3cec9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ce49000-0x3ce89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ce09000-0x3ce49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cdc9000-0x3ce09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cd89000-0x3cdc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cd49000-0x3cd89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cd09000-0x3cd49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ccc9000-0x3cd09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cc89000-0x3ccc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cc49000-0x3cc89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cc09000-0x3cc49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cbc9000-0x3cc09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cb89000-0x3cbc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cb49000-0x3cb89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cb09000-0x3cb49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3cac9000-0x3cb09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ca89000-0x3cac9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ca49000-0x3ca89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ca09000-0x3ca49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c9c9000-0x3ca09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c989000-0x3c9c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c949000-0x3c989000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c909000-0x3c949000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c8c9000-0x3c909000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c889000-0x3c8c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c849000-0x3c889000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c809000-0x3c849000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c7c9000-0x3c809000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c789000-0x3c7c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c749000-0x3c789000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c709000-0x3c749000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c6c9000-0x3c709000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c689000-0x3c6c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c649000-0x3c689000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c609000-0x3c649000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c5c9000-0x3c609000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c589000-0x3c5c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c549000-0x3c589000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c509000-0x3c549000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c4c9000-0x3c509000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c489000-0x3c4c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c449000-0x3c489000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c409000-0x3c449000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c3c9000-0x3c409000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c389000-0x3c3c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c349000-0x3c389000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c309000-0x3c349000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c2c9000-0x3c309000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c289000-0x3c2c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c249000-0x3c289000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c209000-0x3c249000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c1c9000-0x3c209000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c189000-0x3c1c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c149000-0x3c189000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c109000-0x3c149000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c0c9000-0x3c109000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c089000-0x3c0c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c049000-0x3c089000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3c009000-0x3c049000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bfc9000-0x3c009000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bf89000-0x3bfc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bf49000-0x3bf89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bf09000-0x3bf49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bec9000-0x3bf09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3be89000-0x3bec9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3be49000-0x3be89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3be09000-0x3be49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bdc9000-0x3be09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bd89000-0x3bdc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bd49000-0x3bd89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bd09000-0x3bd49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bcc9000-0x3bd09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bc89000-0x3bcc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bc49000-0x3bc89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bc09000-0x3bc49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bbc9000-0x3bc09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bb89000-0x3bbc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bb49000-0x3bb89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bb09000-0x3bb49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3bac9000-0x3bb09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ba89000-0x3bac9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ba49000-0x3ba89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ba09000-0x3ba49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b9c9000-0x3ba09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b989000-0x3b9c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b949000-0x3b989000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b909000-0x3b949000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b8c9000-0x3b909000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b889000-0x3b8c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b849000-0x3b889000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b809000-0x3b849000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b7c9000-0x3b809000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b789000-0x3b7c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b749000-0x3b789000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b709000-0x3b749000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b6c9000-0x3b709000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b689000-0x3b6c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b649000-0x3b689000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b609000-0x3b649000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b5c9000-0x3b609000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b589000-0x3b5c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b549000-0x3b589000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b509000-0x3b549000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b4c9000-0x3b509000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b489000-0x3b4c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b449000-0x3b489000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b409000-0x3b449000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b3c9000-0x3b409000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b389000-0x3b3c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b349000-0x3b389000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b309000-0x3b349000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b2c9000-0x3b309000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b289000-0x3b2c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b249000-0x3b289000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b209000-0x3b249000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b1c9000-0x3b209000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b189000-0x3b1c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b149000-0x3b189000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b109000-0x3b149000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b0c9000-0x3b109000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b089000-0x3b0c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b049000-0x3b089000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3b009000-0x3b049000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3afc9000-0x3b009000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3af89000-0x3afc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3af49000-0x3af89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3af09000-0x3af49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3aec9000-0x3af09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ae89000-0x3aec9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ae49000-0x3ae89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ae09000-0x3ae49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3adc9000-0x3ae09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ad89000-0x3adc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ad49000-0x3ad89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ad09000-0x3ad49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3acc9000-0x3ad09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ac89000-0x3acc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ac49000-0x3ac89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ac09000-0x3ac49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3abc9000-0x3ac09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ab89000-0x3abc9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ab49000-0x3ab89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ab09000-0x3ab49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3aac9000-0x3ab09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3aa89000-0x3aac9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3aa49000-0x3aa89000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3aa09000-0x3aa49000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a9c9000-0x3aa09000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a989000-0x3a9c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a949000-0x3a989000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a909000-0x3a949000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a8c9000-0x3a909000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a889000-0x3a8c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a849000-0x3a889000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a809000-0x3a849000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a7c9000-0x3a809000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a789000-0x3a7c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a749000-0x3a789000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a709000-0x3a749000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a6c9000-0x3a709000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a689000-0x3a6c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a649000-0x3a689000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a609000-0x3a649000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a5c9000-0x3a609000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a589000-0x3a5c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a549000-0x3a589000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a509000-0x3a549000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a4c9000-0x3a509000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a489000-0x3a4c9000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a449000-0x3a489000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3a409000-0x3a449000 [REG:RW-] (stack) measured
